Code;Libellé
5659;SA union de sociétés coopératives à directoire
6901;Autre personne de droit privé inscrite au registre du commerce et des sociétés
7112;Autorité administrative ou publique indépendante
5620;Fonds à forme sociétale à directoire
7361;Centre communal d'action sociale
7323;Association foncière de remembrement
6558;Société civile coopérative entre médecins
7366;Établissement public local social et médico-social
10;Entrepreneur individuel
6521;Société civile de placement collectif immobilier (SCPI)
7351;Institution interdépartementale ou entente
6597;Société civile d'exploitation agricole
63;Société coopérative agricole
5552;SA coopérative de commerçants-détaillants à conseil d'administration
6540;Société civile immobilière
64;Société d'assurance mutuelle
6317;Société coopérative agricole
6551;Société civile coopérative de consommation
7171;Service déconcentré de l'État à compétence (inter) régionale
5622;SA immobilière pour le commerce et l'industrie (SICOMI) à directoire
6569;SCP de commissaires aux comptes
7410;Groupement d'intérêt public (GIP)
4130;Exploitant public
2385;Société en participation de professions libérales
6566;SCP de commissaires-priseurs
5551;SA coopérative de consommation à conseil d'administration
8520;Institution de retraite supplémentaire
6575;SCP de directeurs de laboratoire d'analyse médicale
9221;Association déclarée d'insertion par l'économique
6567;SCP de greffiers de tribunal de commerce
52;Société en nom collectif
5646;SA de HLM à directoire
5426;SARL immobilière de gestion
5560;Autre SA coopérative à conseil d'administration
5525;SA immobilière d'investissement à conseil d'administration
7113;Ministère
6589;Société civile de moyens
6568;SCP de conseils juridiques
8310;Comité central d'entreprise
5653;SA coopérative artisanale à directoire
5800;Société européenne
4120;Établissement public national à caractère industriel ou commercial non doté d'un comptable public
7365;Syndicat inter hospitalier
85;Organisme de retraite à adhésion non obligatoire
5309;Société en commandite par actions coopérative
5548;SA de crédit immobilier à conseil d'administration
74;Autre personne morale de droit public administratif
6588;Société civile laitière
7384;Autre établissement public national d'enseignement
7450;Etablissement public administratif, cercle et foyer dans les armées
7172;Service déconcentré de l'État à compétence (inter) départementale
54;Société à responsabilité limitée (SARL)
6532;Société civile d'intérêt collectif agricole (SICA)
5460;Autre SARL coopérative
5485;Société d'exercice libéral à responsabilité limitée
6571;SCP de médecins
91;Syndicat de propriétaires
4140;Établissement public local à caractère industriel ou commercial
9210;Association non déclarée
3290;Autre personne morale de droit étranger
58;Société européenne
5430;SARL d'aménagement foncier et d'équipement rural (SAFER)
5648;SA de crédit immobilier à directoire
6316;Coopérative d'utilisation de matériel agricole en commun (CUMA)
6561;SCP d'avocats
7322;Association foncière urbaine
2;Groupement de droit privé non doté de la personnalité morale
5202;Société en nom collectif
8150;Régime maladie des non-salariés non agricoles
61;Caisse d'épargne et de prévoyance
7220;Département
7344;Métropole
72;Collectivité territoriale
5785;Société d'exercice libéral par action simplifiée
6576;SCP de vétérinaires
5308;Société en commandite par actions
9;Groupement de droit privé
7383;Établissement public national à caractère scientifique culturel et professionnel
5451;SARL coopérative de consommation
7347;Communauté de villes
73;Etablissement public administratif
5453;SARL coopérative artisanale
8450;Ordre professionnel ou assimilé
6535;Groupement agricole foncier
5459;SARL union de sociétés coopératives
6534;Groupement foncier agricole
5370;Société de Participations Financières de Profession Libérale Société en commandite par actions (SPFPL SCA)
9110;Syndicat de copropriété
83;Comité d'entreprise
6543;Société civile coopérative de construction
7190;Ecole nationale non dotée de la personnalité morale
7341;Secteur de commune
7160;Service déconcentré à compétence nationale d'un ministère (hors Défense)
6554;Société civile coopérative d'intérêt maritime
8311;Comité d'établissement
5643;SA coopérative de construction à directoire
29;Autre groupement de droit privé non doté de la personnalité morale
84;Organisme professionnel
7210;Commune et commune nouvelle
55;Société anonyme à conseil d'administration
6577;SCP de géomètres experts
6572;SCP de dentistes
57;Société par actions simplifiée
32;Personne morale de droit étranger, non immatriculée au RCS
7381;Organisme consulaire
5543;SA coopérative de construction à conseil d'administration
7179;(Autre) Service déconcentré de l'État à compétence territoriale
7355;Syndicat mixte ouvert
3120;Société commerciale étrangère immatriculée au RCS
5532;SA d'intérêt collectif agricole (SICA) à conseil d'administration
3;Personne morale de droit étranger
5191;Société de caution mutuelle
65;Société civile
5630;Safer anonyme à directoire
6511;Sociétés Interprofessionnelles de Soins Ambulatoires
7312;Commune associée et commune déléguée
5498;SARL unipersonnelle
7345;Syndicat intercommunal à vocation multiple (SIVOM)
5192;Société coopérative de banque populaire
5454;SARL coopérative d'intérêt maritime
8250;Assurance mutuelle agricole
56;Société anonyme à directoire
9260;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle)
5442;SARL d'attribution
69;Autre personne morale de droit privé inscrite au registre du commerce et des sociétés
2110;Indivision entre personnes physiques
31;Personne morale de droit étranger, immatriculée au RCS (registre du commerce et des sociétés)
9223;Groupement d'employeurs
5306;Société en commandite simple
7314;Ensemble urbain
7378;Régie d'une collectivité locale à caractère administratif
5615;SA d'économie mixte à directoire
7389;Établissement public national à caractère administratif
7352;Institution interrégionale ou entente
5522;SA immobilière pour le commerce et l'industrie (SICOMI) à conseil d'administration
3220;Société étrangère non immatriculée au RCS
6595;Caisse locale de crédit mutuel
4160;Institution Banque de France
5660;Autre SA coopérative à directoire
7225;Collectivité et territoire d'Outre Mer
1000;Entrepreneur individuel
6563;SCP d'avoués d'appel
23;Société en participation
